-2.75567, 4.02561, 0.70086, 4.92853, 2.17107, 1.42811, 16.00000, 424401.00000, 48419.00000, 221115.93750, 14217374951.68359, 119236.63427, 0.90081, -1.37444, 1.98030, 0.39414, 1.00000
-3.48430, 3.15040, 1.49161, 4.92852, 2.40648, 1.26333, 16.00000, 495854.00000, 51212.00000, 284485.75000, 18081521711.68750, 134467.54892, 0.91102, -2.88604, 2.59457, 1.29147, 1.00000
-2.21782, 3.93313, 1.97536, 4.92852, 2.08423, 1.15840, 31.00000, 484461.00000, 45894.00000, 182191.19355, 15316176230.93028, 123758.54003, 0.91102, -0.60432, 1.05443, 0.54989, 1.00000
-2.85909, 3.75484, 1.40973, 4.92550, 2.22158, 1.28053, 12.00000, 494548.00000, 44711.00000, 227859.16667, 17219251635.80556, 131222.14613, 0.94766, -1.25387, 1.66465, 0.58922, 1.00000
-3.93313, 1.97536, 2.21782, 4.92852, 2.67616, 1.10403, 7.00000, 420442.00000, 111615.00000, 259164.85714, 12515752240.69388, 111873.82286, 0.91102, -10.56672, 5.51065, 6.05607, 1.00000
-4.02561, 0.70086, 2.75567, 4.92853, 2.96922, 0.97747, 6.00000, 400235.00000, 227824.00000, 337585.50000, 3687673418.25000, 60726.21689, 0.90081, 9.35336, -1.86160, -6.49176, 1.00000
-3.15040, 1.49161, 3.48430, 4.92852, 2.69940, 0.78559, 5.00000, 437390.00000, 224477.00000, 278906.40000, 6676841673.04000, 81711.94327, 0.91102, -1.63909, 0.81587, 1.82322, 1.00000
-3.75484, 1.40973, 2.85909, 4.92550, 2.78243, 0.95149, 8.00000, 471944.00000, 131086.00000, 318742.50000, 14137266030.00000, 118900.23562, 0.94766, -9.32863, 3.30198, 7.02665, 1.00000
-1.49161, 3.48430, 3.15040, 4.92852, 1.97528, 0.87732, 32.00000, 444578.00000, 37016.00000, 167538.37500, 11081870581.17188, 105270.46395, 0.91102, -0.30829, 0.68893, 0.61936, 0.96875
-1.97536, 2.21782, 3.93313, 4.92852, 2.29844, 0.64677, 11.00000, 463700.00000, 64866.00000, 246917.27273, 21383960111.10744, 146232.55489, 0.91102, -0.49591, 0.54500, 0.95092, 1.00000
-0.70086, 2.75567, 4.02561, 4.92853, 1.81985, 0.61496, 26.00000, 476960.00000, 26233.00000, 207417.88462, 16797453990.56361, 129604.99215, 0.90081, -0.13313, 0.46424, 0.66888, 0.96154
-1.40973, 2.85909, 3.75484, 4.92550, 2.02888, 0.70390, 14.00000, 308765.00000, 60658.00000, 163721.42857, 5042075339.95918, 71007.57241, 0.94766, -0.25296, 0.53830, 0.71466, 1.00000
-3.47499, 2.68919, 2.20355, 4.91558, 2.48299, 1.10596, 15.00000, 466355.00000, 84448.00000, 281537.20000, 15585522279.89333, 124841.98925, 1.08598, -2.37638, 1.85065, 1.52573, 1.00000
