GroundTruth_Coord1,GroundTruth_Coord2,GroundTruth_Coord3,GroundTruth_Coord4,GroundTruth_Coord5,GroundTruth_Coord6,Predicted_Coord1,Predicted_Coord2,Predicted_Coord3,Predicted_Coord4,Predicted_Coord5,Predicted_Coord6
-3.401828422858168,-2.280004169285209,9.859395040342768,6.207529337476612,3.5593659704005685,-6.189762245847926,9.400531,19.778345,-9.398977,13.470155,0.2705763,19.535847
-7.289519844037561,9.063797148466493,-0.2756158788501811,5.709856375925968,-1.6307714830420679,9.176538566110304,5.9179063,18.161682,-4.8358784,9.257252,0.2665048,17.14988
-6.507247540553428,-9.51913894356835,-1.4565375783276973,-3.1063151456717915,-1.7781988600058152,-10.436315315954594,2.6631148,10.352544,-6.8485475,9.860911,-1.5223145,13.950011
-9.587761732909701,-2.4804394012921516,6.121284837784576,0.0628860316610763,-7.688490621798331,6.733044914619311,7.536063,14.918271,-5.242604,15.606214,2.9507644,9.6773
5.826276512956114,5.987925040325332,-3.52160461664832,5.63764595812039,-0.7690374772535209,-5.945352482747752,17.640322,31.634174,3.0405083,17.21311,5.046571,15.39005
-0.8090283938058114,-8.237144195489485,2.326342653336679,-3.5511051073665265,6.952150822352612,3.1300053983933127,10.559107,25.133793,-5.0736256,20.066956,2.143054,22.307434
7.296302327523021,-6.096578890537621,-3.554100808820962,-3.7155415200156185,0.26500804020643687,-10.479894694953355,4.115433,15.160794,-7.1401825,9.439245,-0.12674366,10.695604
3.479099664786053,-1.6539320516412872,9.032635591275577,-6.404771152286561,-4.366195403142156,-4.4907841301558165,7.896445,19.504547,-8.582969,16.224787,-1.6332201,21.941887
3.3664402100030326,4.037551640830017,6.980529084765218,9.115790445804276,-4.1259416506260775,-5.291547293420116,8.562447,17.56179,-7.7667236,18.297384,-5.2599387,15.944164
8.652576528193537,-0.7256639541156105,-5.776031239320021,-5.627355674453354,-8.076438308353215,1.7606999894662902,8.821163,15.039473,-6.5355163,15.4052305,-0.33690956,15.063982
4.849614471929486,9.697719898464529,-4.164877033836816,-7.115555313839573,-3.8108186058117854,0.028716613119889753,12.38844,25.085993,-6.800337,17.781464,5.298837,18.278906
-7.987253537210489,-4.874488075631689,-0.9043601253280883,2.216247766906556,6.257711777444818,5.074992678565883,-0.010143215,12.356206,-7.2576766,14.043451,-4.311347,18.8636
2.240387855457559,8.088338180119472,3.8443689229082074,-7.6284636046675205,3.956268062071639,-8.341783545164745,3.3505695,14.638247,-7.4733877,14.3563795,3.6431143,14.159701
3.591086554262259,-10.46819206341672,2.0547594907232,-7.427704883637033,0.33038783563015894,8.109184926931148,1.6295037,18.210274,-4.332243,4.593149,2.8382516,16.417582
3.1001855575970803,3.9157180768500104,9.674032738163273,-1.7983412204092069,-1.6521098758314805,-8.422145657900554,8.098149,21.442087,-11.416727,17.540417,1.1477292,21.77901
3.0222509040053516,-5.2724723032333785,-9.194092901522223,-8.280986544805423,-6.708219370938866,3.7998419828401775,10.032167,8.461976,-4.171834,15.679632,-4.338217,9.770103
2.5912689773664037,-6.415852295949922,7.788915424454424,1.4952861106706186,-8.76740582272266,3.185372877573368,14.8805485,13.045348,-1.8583349,17.991121,-3.4991806,16.046995
-1.238101525950617,4.3133293180452705,-8.50932265825132,-7.123327794524237,-3.7953341799776683,3.1158486059542123,14.044855,19.684698,-7.241599,22.779001,3.2625496,8.8699045
-3.7861645546940497,6.5070519993041405,4.678714448640598,-4.699038514581484,8.429894495698608,2.5687758958676907,0.1326074,20.47138,-5.290997,18.602253,6.6177664,25.82213
2.6457422459512627,-6.21870397756257,-7.513764642729048,11.148095225318295,-3.811002674547148,0.1864410984983142,11.25253,6.858472,-4.1060452,10.985332,-5.369451,3.1483507
6.597047256979765,8.196421289258977,-0.032257940084044485,-6.849279836777676,6.106549656908475,-5.460789763687313,14.26997,17.04276,-8.026655,15.948715,-1.7570584,17.526081
3.2127535181831584,-2.3972754694085503,-7.824571880094973,11.271421215193186,1.6918317868944057,-2.7524687144947957,5.3818526,22.2135,-13.930132,16.87769,1.2875403,14.041183
10.687486847994903,1.8912624045140387,5.028776367676054,8.281830442222795,4.5670170680028175,-4.133268291606881,9.364495,10.494814,-0.7731342,4.1399417,-3.8711338,10.232858
2.147689482809796,1.0010627715927058,-8.066185448359795,0.754352646605498,3.41745225263098,-7.6424315714235975,6.7270656,23.023556,-20.344902,28.431177,2.7363696,16.86433
-0.06556668962675123,5.4097801665311245,9.134028592612939,-2.990903723213921,7.398729628045792,6.730233893046906,0.7826319,23.091232,-3.5235457,17.466042,1.1190933,20.874125
-1.0377792132999522,-8.05562372345475,-0.4372955176215797,-3.079371612991214,-2.2220071419899425,-8.537391429634054,20.4849,24.369524,-8.862955,17.879305,7.222505,20.183296
-2.2631314232406456,5.667169339774588,8.45365354036474,3.9569745748746628,0.7457406544987489,7.898723956494345,10.001488,21.38045,-1.0034025,14.365797,1.8432796,29.053791
6.772066874010546,6.091183229061331,2.836597527766831,6.945972403643947,-5.756756966036394,5.5175415044483636,8.469702,15.075258,-3.3080316,18.115356,-0.27807984,19.015749
